,maxtemp,temp,humid,cloud,wind,country,date,lon,lat,cityname
286,12.78,11.72,71,90,5.66,US,1618687746,-84.5333,39.1834,hamilton
287,18.33,17.51,55,0,3.6,PT,1618687747,-9.4469,38.7992,colares
288,28.0,28.0,83,40,1.03,IN,1618687747,80.1722,12.6264,mamallapuram
289,-10.41,-10.41,95,100,3.94,RU,1618687747,123.3711,66.7697,zhigansk
290,-7.93,-7.93,89,100,3.64,RU,1618687747,92.6267,60.3778,teya
291,11.0,11.0,100,90,3.09,AU,1618687748,140.7667,-37.8333,mount gambier
292,28.0,28.0,78,40,6.69,YT,1618687748,45.2042,-12.7336,koungou
293,25.31,25.31,73,100,7.56,GW,1618687583,-15.8333,11.2833,bubaque
294,13.13,13.13,58,72,11.11,JP,1618687748,134.15,33.2833,muroto
295,15.0,11.71,88,20,6.17,IT,1618687749,13.765,37.1926,palma di montechiaro
296,7.22,6.3,77,100,3.34,US,1618687749,-75.0638,42.4529,oneonta
297,21.0,20.32,56,0,1.03,IL,1618687749,34.5715,31.6693,ashqelon
298,18.74,18.74,39,95,6.52,MX,1618687750,-101.2833,27.6333,minas de barroteran
299,33.96,33.96,13,0,1.89,MX,1618687750,-100.0,17.6667,guerrero
300,17.78,17.5,48,1,4.12,CA,1618687750,-125.5528,48.9329,ucluelet
301,8.0,8.0,57,0,2.57,AU,1618687750,141.4333,-31.95,broken hill
302,26.69,26.69,44,12,2.43,AR,1618687751,-54.1333,-26.6167,san vicente
303,12.49,12.49,85,69,0.9,ET,1618687751,39.7667,9.85,debre sina
304,22.72,22.72,20,0,1.1,ZA,1618687644,19.776,-31.4707,calvinia
305,28.98,28.98,70,49,2.65,MV,1618687751,73.2667,6.15,funadhoo
306,5.0,3.75,70,16,1.54,SE,1618687752,17.9379,62.6323,harnosand
307,6.11,6.06,56,100,3.09,CA,1618687752,-71.3013,46.0913,thetford mines
308,16.51,16.51,91,100,7.72,PT,1618687752,-27.9833,39.05,lagoa
309,24.0,24.0,73,40,7.16,NC,1618687753,167.4833,-22.6667,vao
310,20.0,20.0,30,0,6.17,AU,1618687753,139.5,-20.7333,mount isa
311,3.59,3.59,81,16,3.3,RU,1618687753,50.9968,60.445,koygorodok
312,-7.23,-7.23,84,74,4.97,RU,1618687753,159.9667,59.1167,palana
313,-9.94,-9.94,80,100,4.77,RU,1618687754,153.6833,67.45,srednekolymsk
314,12.0,9.88,28,0,2.06,FI,1618687754,22.3333,61.0333,sakyla
315,6.0,6.0,81,89,3.09,CA,1618687754,-81.7165,43.7501,goderich
316,29.92,29.92,12,50,1.05,NG,1618687755,8.5726,10.387,lere
317,17.83,17.83,63,100,3.08,BW,1618687755,21.75,-24.0,hukuntsi
318,18.0,17.58,39,75,2.57,US,1618687511,-83.9705,35.7565,maryville
319,26.49,26.49,81,94,3.43,LK,1618687755,81.8167,7.4167,kalmunai
320,18.76,18.76,98,100,0.56,LA,1618687756,104.0439,20.4197,xam nua
321,27.34,27.34,80,98,4.47,PG,1618687756,150.7967,-2.5744,kavieng
322,8.29,8.29,22,0,7.56,CN,1618687756,111.9767,43.6475,erenhot
323,20.0,20.0,34,0,1.54,ZA,1618687575,17.9442,-33.0117,saldanha
